	SRR6924534	SRR6924535	SRR6924536	SRR6924547	SRR6924548	SRR6924549
gene:Bcin01g02080	9	9	8	15	12	10
gene:Bcin01g02090	964	962	882	1268	954	896
gene:Bcin01g02100	635	645	732	721	357	424
gene:Bcin01g02110	362	430	356	361	254	239
gene:Bcin01g02120	3237	3420	3239	5301	6122	4573
gene:Bcin01g02130	308	337	325	242	210	195
gene:Bcin01g02140	16	33	21	40	37	32
gene:Bcin01g02150	7	3	5	4	8	1
gene:Bcin01g02160	2969	3468	2935	3002	2099	1779
gene:Bcin01g02170	1354	1492	1124	1394	1356	1062
gene:Bcin01g02180	181	170	144	100	79	69
gene:Bcin01g02190	412	446	400	443	301	316
gene:Bcin01g02200	18751	19313	16997	24824	23347	18520
gene:Bcin01g02210	17432	18036	15453	21751	19710	16976
gene:Bcin01g02220	1828	1997	1762	1691	2268	1243
gene:Bcin01g02230	698	794	680	811	652	530
gene:Bcin01g02240	1110	1375	1027	1223	1042	875
gene:Bcin01g02250	327	375	333	377	382	255
gene:Bcin01g02260	1123	1327	1096	1066	1022	919
gene:Bcin01g02270	791	810	684	1051	1021	881
gene:Bcin01g02280	5128	6404	3577	2450	2959	2672
gene:Bcin01g02290	1582	1790	1478	946	1146	824
gene:Bcin01g02300	3666	3970	3746	6353	6461	5390
gene:Bcin01g02310	5847	7008	5534	5257	4401	3709
gene:Bcin01g02320	5029	5454	3436	138	132	98
gene:Bcin01g02330	123	116	111	67	61	42
gene:Bcin01g02340	519	579	557	799	784	597
gene:Bcin01g02350	93	95	96	211	164	151
gene:Bcin01g02360	54	47	43	44	42	37
gene:Bcin01g02370	8	15	9	20	15	7
gene:Bcin01g02380	6	12	6	19	13	12
gene:Bcin01g02390	7	4	2	12	5	2
gene:Bcin01g02400	379	382	308	377	444	259
gene:Bcin01g02410	185	246	170	323	253	183
gene:Bcin01g02420	3068	3660	2658	1804	1241	1120
gene:Bcin01g02430	63	34	40	4	10	9
gene:Bcin01g02440	15	13	10	29	26	15
gene:Bcin01g02450	13	33	17	31	14	26
gene:Bcin01g02460	1982	2988	1791	1372	805	889
gene:Bcin01g02470	2	1	2	32	22	33
gene:EFBcG00000013293	0	0	0	0	0	0
gene:ENSRNA049538880	0	0	0	0	0	0
gene:Bcin01g02480	3	0	0	2	0	2
gene:EFBcG00000013192	0	0	0	0	0	0
gene:ENSRNA049535079	0	0	0	0	0	0
gene:Bcin01g02490	1898	1883	2181	442	299	268
gene:Bcin01g02500	2959	3190	3246	613	473	429
gene:Bcin01g02510	5402	5994	5988	325	154	160
gene:Bcin01g02520	0	0	1	7	10	1
gene:Bcin01g02530	1	2	1	3	3	1
gene:Bcin01g02540	211	225	245	392	501	228
gene:Bcin01g02550	34	47	34	109	105	61
gene:Bcin01g02560	2329	2990	2010	2238	1716	1626
gene:Bcin01g02565	261	285	193	205	162	141
gene:Bcin01g02570	741	805	611	627	607	508
gene:Bcin01g02580	11734	13456	11388	18355	16144	13451
gene:Bcin01g02590	14	27	14	38	52	18
gene:Bcin01g02600	3185	3482	3498	5916	8418	5490
gene:Bcin01g02610	1355	1395	1092	1057	960	727
gene:Bcin01g02620	1268	1510	1233	1620	1423	1336
gene:Bcin01g02630	3162	3164	2874	3619	2740	2355
gene:Bcin01g02640	975	1156	887	782	506	496
gene:Bcin01g02650	617	721	594	634	491	455
gene:Bcin01g02660	2620	3148	2299	3366	3459	2452
gene:Bcin01g02670	3387	3619	2824	3814	2651	2731
gene:Bcin01g02680	7037	7413	5477	5089	3958	3447
gene:Bcin01g02690	664	1162	455	611	758	616
gene:Bcin01g02700	80	74	42	40	77	45
gene:EFBcG00000013262	28	23	27	32	27	20
gene:Bcin01g02710	25	22	13	27	26	29
gene:Bcin01g02720	48	56	25	81	87	91
gene:Bcin01g02730	563	866	444	463	631	376
gene:Bcin01g02740	537	618	616	494	403	363
